iter	Passed	Remaining
653	2652	2648
654	2656	2644
655	2660	2639
656	2664	2636
657	2668	2631
658	2672	2627
659	2676	2623
660	2680	2619
661	2684	2615
662	2688	2611
663	2692	2607
664	2697	2603
665	2701	2599
666	2705	2595
667	2709	2591
668	2713	2587
669	2717	2583
670	2720	2579
671	2724	2574
672	2728	2570
673	2732	2566
674	2736	2562
675	2740	2557
676	2744	2553
677	2748	2549
678	2752	2545
679	2756	2541
680	2760	2537
681	2764	2533
682	2768	2529
683	2772	2524
684	2776	2520
685	2780	2516
686	2784	2512
687	2787	2508
688	2791	2504
689	2795	2500
690	2799	2495
691	2803	2491
692	2807	2487
693	2811	2483
694	2815	2478
695	2818	2474
696	2822	2470
697	2826	2466
698	2830	2461
699	2834	2457
700	2838	2453
701	2842	2449
702	2846	2445
703	2850	2441
704	2854	2437
705	2858	2433
706	2862	2429
707	2866	2424
708	2870	2420
709	2873	2416
710	2877	2412
711	2881	2408
712	2885	2403
713	2889	2400
714	2893	2395
715	2897	2391
716	2901	2387
717	2905	2383
718	2909	2379
719	2913	2375
720	2917	2370
721	2921	2366
722	2924	2362
723	2928	2358
724	2932	2354
725	2936	2350
726	2940	2346
727	2944	2342
728	2948	2337
729	2952	2333
730	2956	2329
731	2961	2325
732	2964	2321
733	2968	2317
734	2972	2313
735	2976	2309
736	2980	2305
737	2984	2300
738	2988	2296
739	2992	2292
740	2996	2288
741	3000	2284
742	3004	2280
743	3008	2276
744	3011	2272
745	3015	2268
746	3019	2263
747	3023	2259
748	3027	2255
749	3031	2251
750	3035	2247
751	3039	2243
752	3043	2239
753	3047	2234
754	3051	2230
755	3055	2227
756	3059	2222
757	3063	2218
758	3067	2214
759	3070	2210
760	3074	2206
761	3078	2201
762	3082	2198
763	3086	2193
764	3090	2189
765	3094	2185
766	3098	2181
767	3102	2177
768	3106	2173
769	3110	2168
770	3114	2164
771	3117	2160
772	3121	2156
773	3125	2152
774	3129	2148
775	3133	2143
776	3137	2139
777	3140	2135
778	3145	2132
779	3149	2127
780	3152	2123
781	3157	2119
782	3160	2115
783	3164	2111
784	3168	2106
785	3172	2102
786	3176	2098
787	3180	2094
788	3183	2090
789	3187	2086
790	3191	2082
791	3195	2078
792	3199	2074
793	3204	2070
794	3208	2066
795	3212	2062
796	3216	2058
797	3220	2054
798	3224	2049
799	3227	2045
800	3231	2041
801	3235	2037
802	3239	2033
803	3243	2029
804	3247	2025
805	3251	2021
806	3255	2017
807	3259	2013
808	3263	2008
809	3267	2004
810	3271	2000
811	3275	1996
812	3278	1992
813	3282	1988
814	3286	1984
815	3291	1980
816	3294	1976
817	3299	1972
818	3303	1968
819	3307	1964
820	3310	1959
821	3314	1955
822	3318	1951
823	3322	1947
824	3326	1943
825	3329	1939
826	3333	1934
827	3337	1930
828	3341	1926
829	3345	1922
830	3349	1918
831	3353	1914
832	3357	1910
833	3361	1906
834	3365	1902
835	3369	1898
836	3373	1894
837	3376	1889
838	3380	1885
839	3384	1881
840	3388	1877
841	3391	1873
842	3395	1869
843	3399	1865
844	3403	1861
845	3407	1856
846	3411	1852
847	3415	1848
848	3419	1844
849	3423	1840
850	3427	1836
851	3431	1832
852	3435	1828
853	3439	1824
854	3443	1820
855	3447	1816
856	3451	1812
857	3455	1808
858	3459	1804
859	3463	1800
860	3467	1796
861	3471	1792
862	3475	1788
863	3479	1783
864	3483	1779
865	3486	1775
866	3490	1771
867	3495	1767
868	3499	1763
869	3502	1759
870	3506	1755
871	3510	1751
872	3514	1747
873	3518	1742
874	3522	1738
875	3525	1734
876	3530	1730
877	3533	1726
878	3537	1722
879	3541	1718
880	3545	1714
881	3549	1710
882	3553	1706
883	3557	1702
884	3561	1698
885	3564	1693
886	3568	1689
887	3572	1685
888	3576	1681
889	3580	1677
890	3583	1673
891	3587	1669
892	3591	1665
893	3595	1660
894	3599	1656
895	3602	1652
896	3606	1648
897	3610	1644
898	3614	1640
899	3618	1636
900	3621	1632
901	3625	1627
902	3629	1623
903	3635	1620
904	3639	1616
905	3643	1612
906	3647	1608
907	3651	1604
908	3655	1600
909	3659	1596
910	3663	1592
911	3667	1588
912	3671	1584
913	3675	1580
914	3679	1576
915	3683	1572
916	3687	1568
917	3691	1564
918	3695	1560
919	3699	1556
920	3703	1552
921	3707	1548
922	3711	1544
923	3715	1540
924	3719	1535
925	3723	1531
926	3727	1527
927	3731	1523
928	3735	1519
929	3739	1515
930	3743	1511
931	3747	1507
932	3751	1503
933	3754	1499
934	3758	1495
935	3762	1491
936	3766	1487
937	3770	1483
938	3774	1479
939	3777	1474
940	3781	1470
941	3785	1466
942	3789	1462
943	3793	1458
944	3797	1454
945	3801	1450
946	3804	1446
947	3808	1442
948	3812	1438
949	3815	1433
950	3819	1429
951	3823	1425
952	3826	1421
953	3830	1417
954	3834	1413
955	3838	1409
956	3842	1405
957	3846	1401
958	3850	1397
959	3854	1393
960	3858	1389
961	3862	1385
962	3866	1381
963	3870	1377
964	3873	1372
965	3877	1368
966	3881	1364
967	3885	1360
968	3889	1356
969	3893	1352
970	3896	1348
971	3900	1344
972	3904	1340
973	3908	1336
974	3912	1332
975	3916	1328
976	3919	1323
977	3923	1319
978	3927	1315
979	3931	1311
980	3934	1307
981	3938	1303
982	3942	1299
983	3946	1295
984	3950	1291
985	3954	1287
986	3958	1283
987	3962	1279
988	3965	1275
989	3970	1271
990	3973	1267
991	3976	1262
992	3980	1258
993	3984	1254
994	3988	1250
995	3991	1246
996	3995	1242
997	3999	1238
998	4003	1234
999	4007	1230
1000	4011	1226
1001	4015	1222
1002	4019	1218
1003	4023	1214
1004	4026	1210
1005	4030	1206
1006	4034	1201
1007	4038	1197
1008	4042	1193
1009	4046	1189
1010	4050	1185
1011	4053	1181
1012	4057	1177
1013	4061	1173
1014	4066	1169
1015	4069	1165
1016	4073	1161
1017	4077	1157
1018	4081	1153
1019	4085	1149
1020	4089	1145
1021	4092	1141
1022	4096	1137
1023	4100	1133
1024	4104	1129
1025	4107	1125
1026	4111	1120
1027	4115	1116
1028	4119	1112
1029	4123	1108
1030	4127	1104
1031	4129	1100
1032	4134	1096
1033	4138	1092
1034	4142	1088
1035	4146	1084
1036	4150	1080
1037	4154	1076
1038	4158	1072
1039	4162	1068
1040	4166	1064
1041	4170	1060
1042	4174	1056
1043	4177	1052
1044	4181	1048
1045	4185	1044
1046	4189	1040
1047	4193	1036
1048	4197	1032
1049	4201	1028
1050	4204	1024
1051	4208	1020
1052	4212	1016
1053	4216	1012
1054	4220	1008
1055	4225	1004
1056	4228	1000
1057	4232	996
1058	4236	992
1059	4240	988
1060	4244	984
1061	4248	980
1062	4252	976
1063	4256	972
1064	4261	968
1065	4265	964
1066	4269	960
1067	4273	956
1068	4277	952
1069	4280	948
1070	4284	944
1071	4288	940
1072	4292	936
1073	4296	932
1074	4300	928
1075	4304	924
1076	4308	920
1077	4311	915
1078	4315	911
1079	4319	907
1080	4323	903
1081	4327	899
1082	4331	895
1083	4335	891
1084	4339	887
1085	4343	883
1086	4347	879
1087	4351	875
1088	4355	871
1089	4359	867
1090	4363	863
1091	4367	859
1092	4371	855
1093	4375	851
1094	4378	847
1095	4382	843
1096	4386	839
1097	4390	835
1098	4394	831
1099	4398	827
1100	4402	823
1101	4406	819
1102	4410	815
1103	4414	811
1104	4418	807
1105	4422	803
1106	4426	799
1107	4430	795
1108	4433	791
1109	4437	787
1110	4441	783
1111	4445	779
1112	4449	775
1113	4453	771
1114	4457	767
1115	4461	763
1116	4465	759
1117	4469	755
1118	4473	751
1119	4477	747
1120	4481	743
1121	4485	739
1122	4489	735
1123	4493	731
1124	4496	727
1125	4500	723
1126	4505	719
1127	4509	715
1128	4512	711
1129	4516	707
1130	4520	703
1131	4524	699
1132	4528	695
1133	4532	691
1134	4536	687
1135	4540	683
1136	4543	679
1137	4547	675
1138	4551	671
1139	4555	667
1140	4559	663
1141	4563	659
1142	4567	655
1143	4571	651
1144	4575	647
1145	4579	643
1146	4583	639
1147	4586	635
1148	4590	631
1149	4594	627
1150	4598	623
1151	4602	619
1152	4605	615
1153	4609	611
1154	4613	607
1155	4617	603
1156	4621	599
1157	4625	595
1158	4629	591
1159	4633	587
1160	4636	583
1161	4640	579
1162	4644	575
1163	4648	571
1164	4653	567
1165	4656	563
1166	4660	559
1167	4664	555
1168	4668	551
1169	4672	547
1170	4676	543
1171	4680	539
1172	4684	535
1173	4688	531
1174	4692	527
1175	4696	523
1176	4700	519
1177	4703	515
1178	4707	511
1179	4711	507
1180	4715	503
1181	4719	499
1182	4723	495
